name,pdf_page,match_type,menu_ids,menu_paths,behavior_verified
A/THR 1,2,normalized_exact_label_or_group_label,M040,ATA 22 - AutoFlight → A/THR → 1,False
A/THR 2,2,normalized_exact_label_or_group_label,M041,ATA 22 - AutoFlight → A/THR → 2,False
ABCU,2,normalized_exact_label_or_group_label,M149,ATA 32 - Landing gear → ABCU,False
AC bus 1,2,normalized_exact_label_or_group_label,M051,ATA 24 - Electrical power → AC Bus Fault → Ac Bus 1,False
AC bus 1 26v,2,normalized_exact_label_or_group_label,M056,ATA 24 - Electrical power → AC 26v Bus Fault → Ac Bus 1 26v,False
AC bus 2,2,normalized_exact_label_or_group_label,M052,ATA 24 - Electrical power → AC Bus Fault → Ac Bus 2,False
AC bus 2 26v,2,normalized_exact_label_or_group_label,M057,ATA 24 - Electrical power → AC 26v Bus Fault → Ac Bus 2 26v,False
AC ESS bus 26v,2,normalized_exact_label_or_group_label,M058,ATA 24 - Electrical power → AC 26v Bus Fault → Ac Ess Bus 26v,False
AC ESS bus ALTN,2,normalized_exact_label_or_group_label,M070,ATA 24 - Electrical power → AC Ess Bus Altn,False
AC ESS feed from AC bus 1,2,normalized_exact_label_or_group_label,M071,ATA 24 - Electrical power → AC Ess feed → From Ac Bus 1,False
AC ESS feed from AC bus 2,2,normalized_exact_label_or_group_label,M072,ATA 24 - Electrical power → AC Ess feed → From Ac Bus 2,False
AC essential bus,2,normalized_exact_label_or_group_label,M053,ATA 24 - Electrical power → AC Bus Fault → Ac Essential Bus,False
AC essential shed bus,2,normalized_exact_label_or_group_label,M054,ATA 24 - Electrical power → AC Bus Fault → Ac Essential Shed Bus,False
AC static inverter bus,2,normalized_exact_label_or_group_label,M055,ATA 24 - Electrical power → AC Bus Fault → Ac Static Inverter Bus,False
ADF 1,2,normalized_exact_label_or_group_label,M207,ATA 34 - Navigation → Radios → Adf 1,False
ADF 2,2,normalized_exact_label_or_group_label,M208,ATA 34 - Navigation → Radios → Adf 2,False
ADR1 failure,2,normalized_exact_label_or_group_label,M178,ATA 34 - Navigation → ADR fault → Adr1 Failure,False
ADR2 failure,2,normalized_exact_label_or_group_label,M179,ATA 34 - Navigation → ADR fault → Adr2 Failure,False
ADR3 failure,2,normalized_exact_label_or_group_label,M180,ATA 34 - Navigation → ADR fault → Adr3 Failure,False
Aft avionics door,2,normalized_exact_label_or_group_label,M350,ATA 52 - Doors → Doors right → Aft Avionics Door,False
Aft cargo door,2,normalized_exact_label_or_group_label,M354,ATA 52 - Doors → Doors right → Aft Cargo Door,False
Aft cargo smoke detected,2,normalized_exact_label_or_group_label,M075,ATA 26 - Fire protection → Aft cargo smoke detected,False
Aft entry left door,2,normalized_exact_label_or_group_label,M348,ATA 52 - Doors → Doors left → Aft Entry Left Door,False
Aft entry right door,2,normalized_exact_label_or_group_label,M356,ATA 52 - Doors → Doors right → Aft Entry Right Door,False
Alignment fault,2,normalized_exact_label_or_group_label,M278,ATA 27 - Flight controls → Alignment fault,False
Alternate law with protection,2,normalized_exact_label_or_group_label,M035,ATA 22 - AutoFlight → Law override → Alternate Law With Protection,False
Alternate law without protection,3,normalized_exact_label_or_group_label,M036,ATA 22 - AutoFlight → Law override → Alternate Law Without Protection,False
AOA heat Capt,3,normalized_exact_label_or_group_label,M254,ATA 30 - Ice and rain protection → AOA Heat → Capt,False
AOA heat F/O,3,normalized_exact_label_or_group_label,M255,ATA 30 - Ice and rain protection → AOA Heat → F/o,False
AOA heat STBY,3,normalized_exact_label_or_group_label,M256,ATA 30 - Ice and rain protection → AOA Heat → Stby,False
AP 1,3,normalized_exact_label_or_group_label,M042,ATA 22 - AutoFlight → AP → 1,False
AP 2,3,normalized_exact_label_or_group_label,M043,ATA 22 - AutoFlight → AP → 2,False
APU bleed valve,3,normalized_exact_label_or_group_label,M235,ATA 36 - Pneumatic → Pneumatic valve → Apu Bleed Valve,False
APU fire extinguished with 1 bottle,3,normalized_exact_label_or_group_label,M082,ATA 26 - Fire protection → Fire 1 bottle → Apu Fire Extinguished With 1 Bottle,False
APU fuel valve,3,normalized_exact_label_or_group_label,M245,ATA 49 - APU → APU fuel valve,False
APU generator,3,reviewed_group_label_alias,M059,ATA 24 - Electrical power → Generator → Apu,False
APU Loop A,3,normalized_exact_label_or_group_label,M089,ATA 26 - Fire protection → Loop APU → Apu Loop A,False
APU Loop B,3,normalized_exact_label_or_group_label,M090,ATA 26 - Fire protection → Loop APU → Apu Loop B,False
APU low oil level,3,normalized_exact_label_or_group_label,M244,ATA 49 - APU → APU Low oil level,False
APU inextinguishable fire,3,reviewed_name_or_group_rewording,M079,ATA 26 - Fire protection → Fire unextinguishable → Apu Unextinguishable Fire,False
ATC 1,3,normalized_exact_label_or_group_label,M221,ATA 34 - Navigation → ATC → 1,False
ATC 2,3,normalized_exact_label_or_group_label,M222,ATA 34 - Navigation → ATC → 2,False
ATSU,3,normalized_exact_label_or_group_label,M341,ATA 46 - Information systems → ATSU,False
Autobrake failure,3,normalized_exact_label_or_group_label,M152,ATA 32 - Landing gear → Brake fault → Autobrake Failure,False
Avionics smoke detected,3,normalized_exact_label_or_group_label,M094,ATA 26 - Fire protection → Avionics smoke detected,False
Bleed leak APU,3,normalized_exact_label_or_group_label,M242,ATA 36 - Pneumatic → Bleed leak → Apu,False
