mmel_id,title,pdf_pages,printed_pages,assessments,screening_status,approved_for_generation
21-00-00,CLASS II MAINTENANCE MESSAGES DISPLAYED ON ECAM STATUS PAGE OF ECAM SYSTEM DISPLAY,28,21-1,,сопоставление с Fenix не установлено,False
21-21-01,Cabin Fans,29,21-2,F001,есть отдельная оценка — см. матрицу,False
21-21-02,CAB FAN pb Switch,29,21-2,,сопоставление с Fenix не установлено,False
21-23-01,Lavatory and Galley Extraction Fan,29,21-2,F002,есть отдельная оценка — см. матрицу,False
21-26-01,Blower Fan,30,21-3,F003,есть отдельная оценка — см. матрицу,False
21-26-02,Extract Fan,31; 32,21-4; 21-5,F004,есть отдельная оценка — см. матрицу,False
21-26-03,Skin Exchanger Inlet Bypass Valve,32,21-5,,сопоставление с Fenix не установлено,False
21-26-04,Skin Air Outlet Valve,32,21-5,F005,есть отдельная оценка — см. матрицу,False
21-26-05,Skin Air Inlet Valve,33,21-6,F006,есть отдельная оценка — см. матрицу,False
21-26-06,Skin Exchanger Isolation Valve,33,21-6,,сопоставление с Fenix не установлено,False
21-26-07,Skin Exchanger Outlet Bypass Valve,33,21-6,,сопоставление с Fenix не установлено,False
21-26-08,Air Conditioning Inlet Valve,33,21-6,,сопоставление с Fenix не установлено,False
21-26-09,Ventilation Filters,34,21-7,,сопоставление с Fenix не установлено,False
21-26-10,Avionics Equipment Ventilation Computer (AEVC),34,21-7,F007,есть отдельная оценка — см. матрицу,False
21-26-11,BLOWER FAULT Caution on ECAM,35,21-8,,сопоставление с Fenix не установлено,False
21-26-12,EXTRACT FAULT Caution on ECAM,35,21-8,,сопоставление с Fenix не установлено,False
21-26-13,BLOWER pb Switch,35,21-8,,сопоставление с Fenix не установлено,False
21-26-14,EXTRACT pb Switch,35,21-8,,сопоставление с Fenix не установлено,False
21-26-15,ECAM CAB PRESS Indications,35,21-8,,сопоставление с Fenix не установлено,False
21-26-16,Avionics Extract/Blower Vibration Monitor Unit (VMU) STC No. ST02356LA,36,21-9,,сопоставление с Fenix не установлено,False
21-27-01,Avionics Equipment Ground Cooling System,36,21-9,,сопоставление с Fenix не установлено,False
21-28-01,Forward Cargo Extraction Fan,36,21-9,,сопоставление с Fenix не установлено,False
21-28-02,Forward Cargo Isolation Valves,36,21-9,F008,есть отдельная оценка — см. матрицу,False
21-28-03,FWD ISOL VALVE Fault Light,36,21-9,,сопоставление с Fenix не установлено,False
21-28-04,Aft Cargo Extraction Fan,36,21-9,,сопоставление с Fenix не установлено,False
21-28-05,Aft Cargo Isolation Valves,37,21-10,F009,есть отдельная оценка — см. матрицу,False
21-28-06,Aft Cargo AFT ISOL VALVE Fault Light,37,21-10,,сопоставление с Fenix не установлено,False
21-31-01,"Automatic Cabin Pressure Control Systems (CPC, Outflow Valve AUTO Channels)",37,21-10,F010; F011; F012,есть отдельная оценка — см. матрицу,False
21-31-02,"Manual Cabin Pressure Control Systems (Outflow Valve MAN Channel, MAN V/S CTL Sel)",38,21-11,,сопоставление с Fenix не установлено,False
21-31-04,Safety Valves,38,21-11,,сопоставление с Fenix не установлено,False
21-31-05,Landing Elevation Selection System,38,21-11,,сопоставление с Fenix не установлено,False
21-31-06,MODE SEL FAULT Light,38,21-11,,сопоставление с Fenix не установлено,False
21-31-07,Safety Valves Position Indication on ECAM CAB PRESS Page,38,21-11,,сопоставление с Fenix не установлено,False
21-31-08,SAFETY VALVE OPEN Caution on ECAM,38,21-11,,сопоставление с Fenix не установлено,False
21-43-01,Fwd Cargo Compartment Heating System,39,21-12,,сопоставление с Fenix не установлено,False
21-43-02,Aft Cargo Compartment Heating Systems,40,21-13,,сопоставление с Fenix не установлено,False
21-51-01,Pack Flow Control Valves (Without Mod. 30626/ MP K6443 (Enhanced ECS)),40,21-13,F013,есть отдельная оценка — см. матрицу,False
21-51-02,Pack Flow Selections,41,21-14,,сопоставление с Fenix не установлено,False
21-51-03,PACK pb Switch,41,21-14,,сопоставление с Fenix не установлено,False
21-51-06,Pack Flow Sensor (Aircraft with Mod. 30626),41,21-14,,сопоставление с Fenix не установлено,False
21-52-01,Packs,41; 42; 43; 44; 45; 46; 47; 48; 49; 50,21-14; 21-15; 21-16; 21-17; 21-18; 21-19; 21-20; 21-21; 21-22; 21-23,F014; F015,есть отдельная оценка — см. матрицу,False
21-52-02,Air Cond Pack Ram Air Inlet Flaps,50; 51,21-23; 21-24,,сопоставление с Fenix не установлено,False
21-52-03,Air Cond Pack Ram Air Outlet Flaps (Without Mod. 26249),51,21-24,,сопоставление с Fenix не установлено,False
21-55-01,Emergency Ram Air Inlet,51,21-24,F016,есть отдельная оценка — см. матрицу,False
21-55-02,ECAM Emergency RAM Air Inlet Indication (BLEED SD Page),51,21-24,,сопоставление с Fenix не установлено,False
21-61-01,Pack Temperature Control Primary Channels (Without Mod. 30626),51,21-24,,сопоставление с Fenix не установлено,False
21-61-02,Turbine Bypass Valves,52,21-25,,сопоставление с Fenix не установлено,False
21-63-01,"Zone Controller System (A319, A320, A321) (Without Mod. 30626)",52,21-25,F017,есть отдельная оценка — см. матрицу,False
21-63-02,Cockpit/Cabin Trim Air Valves,53,21-26,,сопоставление с Fenix не установлено,False
21-63-03,Hot Air Pressure Regulating Valve,54,21-27,F018,есть отдельная оценка — см. матрицу,False
21-63-04,HOT AIR pb Switch,55,21-28,,сопоставление с Fenix не установлено,False
21-63-05,ECAM Indication,55,21-28,,сопоставление с Fenix не установлено,False
21-63-06,Air Conditioning System Controller (ACSC) (With Mod. 30626),56,21-29,,сопоставление с Fenix не установлено,False
21-63-07,Cockpit Heater (With Mod. 35861/ MP P9801 or Mod. 38212/ MP P10187),56,21-29,,сопоставление с Fenix не установлено,False
22-10-01,Autopilot Systems,57,22-1,F019,есть отдельная оценка — см. матрицу,False
22-10-02,Flight Director Systems,57,22-1,,сопоставление с Fenix не установлено,False
22-10-03,Take Over pb Switch,57,22-1,,сопоставление с Fenix не установлено,False
22-10-04,Autoland Lights,58,22-2,,сопоставление с Fenix не установлено,False
22-10-05,AP Disengagement Warning System,58,22-2,,сопоставление с Fenix не установлено,False
22-10-06,Side Sticks and Rudder Locking Solenoids in AP Mode,58,22-2,,сопоставление с Fenix не установлено,False
22-10-08,AP/FD TCAS mode (With Mod. 152037/ MP P11363 and without Mod. 159900/ MP P20212),58,22-2,,сопоставление с Fenix не установлено,False
22-10-09,Soft Go-Around Function (With Mod. 161254/ MP P13922),58,22-2,,сопоставление с Fenix не установлено,False
22-30-01,Autothrust Function,59,22-3,F020,есть отдельная оценка — см. матрицу,False
22-30-02,Autothrust Instinctive Disconnect Switches,59,22-3,,сопоставление с Fenix не установлено,False
22-30-03,Autothrust Disengagement Warning System,59,22-3,,сопоставление с Fenix не установлено,False
22-63-01,Yaw Dampers,60,22-4,F021,есть отдельная оценка — см. матрицу,False
22-66-01,Flight Augmentation Computers (FAC),60,22-4,F022; F023,есть отдельная оценка — см. матрицу,False
22-66-02,FAC pb Switch,60,22-4,,сопоставление с Fenix не установлено,False
22-66-03,Windshear Detection/Guidance and Avoidance Systems,61,22-5,F024,есть отдельная оценка — см. матрицу,False
