legacy_name,menu_found,menu_id,menu_path,match_method,behavior_tested
A/THR 1,True,M040,ATA 22 - AutoFlight → A/THR → 1,normalized_exact_label_or_group_label,False
A/THR 2,True,M041,ATA 22 - AutoFlight → A/THR → 2,normalized_exact_label_or_group_label,False
ADF 1,True,M207,ATA 34 - Navigation → Radios → Adf 1,normalized_exact_label_or_group_label,False
ADF 2,True,M208,ATA 34 - Navigation → Radios → Adf 2,normalized_exact_label_or_group_label,False
ADR1 failure,True,M178,ATA 34 - Navigation → ADR fault → Adr1 Failure,normalized_exact_label_or_group_label,False
ADR2 failure,True,M179,ATA 34 - Navigation → ADR fault → Adr2 Failure,normalized_exact_label_or_group_label,False
ADR3 failure,True,M180,ATA 34 - Navigation → ADR fault → Adr3 Failure,normalized_exact_label_or_group_label,False
AOA heat Capt,True,M254,ATA 30 - Ice and rain protection → AOA Heat → Capt,normalized_exact_label_or_group_label,False
AOA heat F/O,True,M255,ATA 30 - Ice and rain protection → AOA Heat → F/o,normalized_exact_label_or_group_label,False
AOA heat STBY,True,M256,ATA 30 - Ice and rain protection → AOA Heat → Stby,normalized_exact_label_or_group_label,False
AP 1,True,M042,ATA 22 - AutoFlight → AP → 1,normalized_exact_label_or_group_label,False
AP 2,True,M043,ATA 22 - AutoFlight → AP → 2,normalized_exact_label_or_group_label,False
APU Loop A,True,M089,ATA 26 - Fire protection → Loop APU → Apu Loop A,normalized_exact_label_or_group_label,False
APU Loop B,True,M090,ATA 26 - Fire protection → Loop APU → Apu Loop B,normalized_exact_label_or_group_label,False
APU bleed valve,True,M235,ATA 36 - Pneumatic → Pneumatic valve → Apu Bleed Valve,normalized_exact_label_or_group_label,False
APU fuel valve,True,M245,ATA 49 - APU → APU fuel valve,normalized_exact_label_or_group_label,False
APU generator,True,M059,ATA 24 - Electrical power → Generator → Apu,reviewed_group_label_alias,False
ATC 1,True,M221,ATA 34 - Navigation → ATC → 1,normalized_exact_label_or_group_label,False
ATC 2,True,M222,ATA 34 - Navigation → ATC → 2,normalized_exact_label_or_group_label,False
ATSU,True,M341,ATA 46 - Information systems → ATSU,normalized_exact_label_or_group_label,False
Aft cargo door,True,M354,ATA 52 - Doors → Doors right → Aft Cargo Door,normalized_exact_label_or_group_label,False
Autobrake failure,True,M152,ATA 32 - Landing gear → Brake fault → Autobrake Failure,normalized_exact_label_or_group_label,False
BMC 1,True,M232,ATA 36 - Pneumatic → BMC → 1,normalized_exact_label_or_group_label,False
BMC 2,True,M233,ATA 36 - Pneumatic → BMC → 2,normalized_exact_label_or_group_label,False
BSCU SYS 1,True,M147,ATA 32 - Landing gear → BSCU → Sys 1,normalized_exact_label_or_group_label,False
BSCU SYS 2,True,M148,ATA 32 - Landing gear → BSCU → Sys 2,normalized_exact_label_or_group_label,False
Bleed leak pylon engine 1,True,M240,ATA 36 - Pneumatic → Bleed leak → Pylon Engine 1,normalized_exact_label_or_group_label,False
Bleed leak pylon engine 2,True,M241,ATA 36 - Pneumatic → Bleed leak → Pylon Engine 2,normalized_exact_label_or_group_label,False
Blue hydraulic leak,True,M127,ATA 29 - Hydraulic power → Hydraulic leak → Blue,reviewed_group_label_alias,False
CFDIU,True,M317,ATA 31 - Indicating/Recording system → CFDIU,normalized_exact_label_or_group_label,False
CPC 1,True,M001,ATA 21 - Air Conditioning → CPC → 1,normalized_exact_label_or_group_label,False
CPC 2,True,M002,ATA 21 - Air Conditioning → CPC → 2,normalized_exact_label_or_group_label,False
CVR,True,M323,ATA 31 - Indicating/Recording system → CVR,normalized_exact_label_or_group_label,False
