menu_id,ata,group,label,enabled,path,key
M001,ATA 21 - Air Conditioning,CPC,1,True,ATA 21 - Air Conditioning → CPC → 1,CPC 1
M002,ATA 21 - Air Conditioning,CPC,2,True,ATA 21 - Air Conditioning → CPC → 2,CPC 2
M003,ATA 21 - Air Conditioning,Overheat,Pack 1,True,ATA 21 - Air Conditioning → Overheat → Pack 1,Overheat Pack 1
M004,ATA 21 - Air Conditioning,Overheat,Pack 2,True,ATA 21 - Air Conditioning → Overheat → Pack 2,Overheat Pack 2
M005,ATA 21 - Air Conditioning,Regulator fault,Pack 1,True,ATA 21 - Air Conditioning → Regulator fault → Pack 1,Regulator fault Pack 1
M006,ATA 21 - Air Conditioning,Regulator fault,Pack 2,True,ATA 21 - Air Conditioning → Regulator fault → Pack 2,Regulator fault Pack 2
M007,ATA 21 - Air Conditioning,Zone controller,Primary,True,ATA 21 - Air Conditioning → Zone controller → Primary,Zone controller Primary
M008,ATA 21 - Air Conditioning,Zone controller,Secondary,True,ATA 21 - Air Conditioning → Zone controller → Secondary,Zone controller Secondary
M009,ATA 21 - Air Conditioning,,Hot air fault,True,ATA 21 - Air Conditioning → Hot air fault,Hot air fault
M010,ATA 21 - Air Conditioning,,Cargo ventilation controller,True,ATA 21 - Air Conditioning → Cargo ventilation controller,Cargo ventilation controller
M011,ATA 21 - Air Conditioning,,Hot air valve aft cargo,True,ATA 21 - Air Conditioning → Hot air valve aft cargo,Hot air valve aft cargo
M012,ATA 21 - Air Conditioning,Cargo vent,Cargo Fwd Isolation Valve Upstream,True,ATA 21 - Air Conditioning → Cargo vent → Cargo Fwd Isolation Valve Upstream,Cargo vent Cargo Fwd Isolation Valve Upstream
M013,ATA 21 - Air Conditioning,Cargo vent,Cargo Fwd Isolation Valve Downstream,True,ATA 21 - Air Conditioning → Cargo vent → Cargo Fwd Isolation Valve Downstream,Cargo vent Cargo Fwd Isolation Valve Downstream
M014,ATA 21 - Air Conditioning,Cargo vent,Cargo Aft Isolation Valve Upstream,True,ATA 21 - Air Conditioning → Cargo vent → Cargo Aft Isolation Valve Upstream,Cargo vent Cargo Aft Isolation Valve Upstream
M015,ATA 21 - Air Conditioning,Cargo vent,Cargo Aft Isolation Valve Downstream,True,ATA 21 - Air Conditioning → Cargo vent → Cargo Aft Isolation Valve Downstream,Cargo vent Cargo Aft Isolation Valve Downstream
M016,ATA 21 - Air Conditioning,,Recirculation fans,True,ATA 21 - Air Conditioning → Recirculation fans,Recirculation fans
M017,ATA 21 - Air Conditioning,Decompression,Slow,True,ATA 21 - Air Conditioning → Decompression → Slow,Decompression Slow
M018,ATA 21 - Air Conditioning,Decompression,Rapid,True,ATA 21 - Air Conditioning → Decompression → Rapid,Decompression Rapid
M019,ATA 21 - Air Conditioning,,Outflow valve stuck,True,ATA 21 - Air Conditioning → Outflow valve stuck,Outflow valve stuck
M020,ATA 21 - Air Conditioning,Ventilation,Aevc,True,ATA 21 - Air Conditioning → Ventilation → Aevc,Ventilation Aevc
M021,ATA 21 - Air Conditioning,Ventilation,Blower Fault,True,ATA 21 - Air Conditioning → Ventilation → Blower Fault,Ventilation Blower Fault
M022,ATA 21 - Air Conditioning,Ventilation,Extract Fault,True,ATA 21 - Air Conditioning → Ventilation → Extract Fault,Ventilation Extract Fault
M023,ATA 21 - Air Conditioning,Ventilation valves,Vent Inlet Valve,True,ATA 21 - Air Conditioning → Ventilation valves → Vent Inlet Valve,Ventilation valves Vent Inlet Valve
M024,ATA 21 - Air Conditioning,Ventilation valves,Vent Extract Valve,True,ATA 21 - Air Conditioning → Ventilation valves → Vent Extract Valve,Ventilation valves Vent Extract Valve
M025,ATA 22 - AutoFlight,Nonresettable fault,Fac 1,True,ATA 22 - AutoFlight → Nonresettable fault → Fac 1,Nonresettable fault Fac 1
M026,ATA 22 - AutoFlight,Nonresettable fault,Fac 2,True,ATA 22 - AutoFlight → Nonresettable fault → Fac 2,Nonresettable fault Fac 2
M027,ATA 22 - AutoFlight,Resettable fault,Fac 1,True,ATA 22 - AutoFlight → Resettable fault → Fac 1,Resettable fault Fac 1
M028,ATA 22 - AutoFlight,Resettable fault,Fac 2,True,ATA 22 - AutoFlight → Resettable fault → Fac 2,Resettable fault Fac 2
M029,ATA 22 - AutoFlight,Rudder travel limiter,Channel 1,True,ATA 22 - AutoFlight → Rudder travel limiter → Channel 1,Rudder travel limiter Channel 1
M030,ATA 22 - AutoFlight,Rudder travel limiter,Channel 2,True,ATA 22 - AutoFlight → Rudder travel limiter → Channel 2,Rudder travel limiter Channel 2
M031,ATA 22 - AutoFlight,Rudder trim,Channel 1,True,ATA 22 - AutoFlight → Rudder trim → Channel 1,Rudder trim Channel 1
M032,ATA 22 - AutoFlight,Rudder trim,Channel 2,True,ATA 22 - AutoFlight → Rudder trim → Channel 2,Rudder trim Channel 2
M033,ATA 22 - AutoFlight,Reactive W/S det,Channel 1,True,ATA 22 - AutoFlight → Reactive W/S det → Channel 1,Reactive W/S det Channel 1
M034,ATA 22 - AutoFlight,Reactive W/S det,Channel 2,True,ATA 22 - AutoFlight → Reactive W/S det → Channel 2,Reactive W/S det Channel 2
M035,ATA 22 - AutoFlight,Law override,Alternate Law With Protection,True,ATA 22 - AutoFlight → Law override → Alternate Law With Protection,Law override Alternate Law With Protection
M036,ATA 22 - AutoFlight,Law override,Alternate Law Without Protection,True,ATA 22 - AutoFlight → Law override → Alternate Law Without Protection,Law override Alternate Law Without Protection
M037,ATA 22 - AutoFlight,Law override,Direct Law,True,ATA 22 - AutoFlight → Law override → Direct Law,Law override Direct Law
M038,ATA 22 - AutoFlight,FCU,Channel 1,True,ATA 22 - AutoFlight → FCU → Channel 1,FCU Channel 1
M039,ATA 22 - AutoFlight,FCU,Channel 2,True,ATA 22 - AutoFlight → FCU → Channel 2,FCU Channel 2
M040,ATA 22 - AutoFlight,A/THR,1,True,ATA 22 - AutoFlight → A/THR → 1,A/THR 1
M041,ATA 22 - AutoFlight,A/THR,2,True,ATA 22 - AutoFlight → A/THR → 2,A/THR 2
M042,ATA 22 - AutoFlight,AP,1,True,ATA 22 - AutoFlight → AP → 1,AP 1
M043,ATA 22 - AutoFlight,AP,2,True,ATA 22 - AutoFlight → AP → 2,AP 2
