menu_id,path,evaluated_references,screening_status,behavior_tested,approved_for_generation
M001,ATA 21 - Air Conditioning → CPC → 1,21-31-01 [K] F010,см. оценку каждого соответствия,False,False
M002,ATA 21 - Air Conditioning → CPC → 2,21-31-01 [K] F011,см. оценку каждого соответствия,False,False
M003,ATA 21 - Air Conditioning → Overheat → Pack 1,21-52-01 [U] F015,см. оценку каждого соответствия,False,False
M004,ATA 21 - Air Conditioning → Overheat → Pack 2,21-52-01 [U] F015,см. оценку каждого соответствия,False,False
M005,ATA 21 - Air Conditioning → Regulator fault → Pack 1,21-52-01 [U] F014,см. оценку каждого соответствия,False,False
M006,ATA 21 - Air Conditioning → Regulator fault → Pack 2,21-52-01 [U] F014,см. оценку каждого соответствия,False,False
M007,ATA 21 - Air Conditioning → Zone controller → Primary,21-63-01 [K] F017,см. оценку каждого соответствия,False,False
M008,ATA 21 - Air Conditioning → Zone controller → Secondary,21-63-01 [K] F017,см. оценку каждого соответствия,False,False
M009,ATA 21 - Air Conditioning → Hot air fault,,соответствие FAA MMEL пока не установлено,False,False
M010,ATA 21 - Air Conditioning → Cargo ventilation controller,,соответствие FAA MMEL пока не установлено,False,False
M011,ATA 21 - Air Conditioning → Hot air valve aft cargo,,соответствие FAA MMEL пока не установлено,False,False
M012,ATA 21 - Air Conditioning → Cargo vent → Cargo Fwd Isolation Valve Upstream,21-28-02 [U] F008,см. оценку каждого соответствия,False,False
M013,ATA 21 - Air Conditioning → Cargo vent → Cargo Fwd Isolation Valve Downstream,21-28-02 [U] F008,см. оценку каждого соответствия,False,False
M014,ATA 21 - Air Conditioning → Cargo vent → Cargo Aft Isolation Valve Upstream,21-28-05 [U] F009,см. оценку каждого соответствия,False,False
M015,ATA 21 - Air Conditioning → Cargo vent → Cargo Aft Isolation Valve Downstream,21-28-05 [U] F009,см. оценку каждого соответствия,False,False
M016,ATA 21 - Air Conditioning → Recirculation fans,21-21-01 [U] F001,см. оценку каждого соответствия,False,False
M017,ATA 21 - Air Conditioning → Decompression → Slow,,соответствие FAA MMEL пока не установлено,False,False
M018,ATA 21 - Air Conditioning → Decompression → Rapid,,соответствие FAA MMEL пока не установлено,False,False
M019,ATA 21 - Air Conditioning → Outflow valve stuck,21-31-01 [X] F012,см. оценку каждого соответствия,False,False
M020,ATA 21 - Air Conditioning → Ventilation → Aevc,21-26-10 [K] F007,см. оценку каждого соответствия,False,False
M021,ATA 21 - Air Conditioning → Ventilation → Blower Fault,21-26-01 [K] F003,см. оценку каждого соответствия,False,False
M022,ATA 21 - Air Conditioning → Ventilation → Extract Fault,21-26-02 [K] F004,см. оценку каждого соответствия,False,False
M023,ATA 21 - Air Conditioning → Ventilation valves → Vent Inlet Valve,21-26-05 [U] F006,см. оценку каждого соответствия,False,False
M024,ATA 21 - Air Conditioning → Ventilation valves → Vent Extract Valve,21-26-04 [U] F005,см. оценку каждого соответствия,False,False
M025,ATA 22 - AutoFlight → Nonresettable fault → Fac 1,22-66-01 [X] F023,см. оценку каждого соответствия,False,False
M026,ATA 22 - AutoFlight → Nonresettable fault → Fac 2,22-66-01 [K] F022,см. оценку каждого соответствия,False,False
M027,ATA 22 - AutoFlight → Resettable fault → Fac 1,,соответствие FAA MMEL пока не установлено,False,False
M028,ATA 22 - AutoFlight → Resettable fault → Fac 2,,соответствие FAA MMEL пока не установлено,False,False
M029,ATA 22 - AutoFlight → Rudder travel limiter → Channel 1,27-23-01 [K] F038,см. оценку каждого соответствия,False,False
M030,ATA 22 - AutoFlight → Rudder travel limiter → Channel 2,27-23-01 [K] F038,см. оценку каждого соответствия,False,False
M031,ATA 22 - AutoFlight → Rudder trim → Channel 1,27-22-01 [K] F037,см. оценку каждого соответствия,False,False
