id1,id2,names,mmel,rule_profiles
M001,M002,Контроллер герметизации CPC1 + Контроллер герметизации CPC2,21-31-01,CPC
M001,M038,Контроллер герметизации CPC1 + FCU — канал 1,21-31-01; 22-81-01,CPC; FCU
M001,M039,Контроллер герметизации CPC1 + FCU — канал 2,21-31-01; 22-81-01,CPC; FCU
M002,M038,Контроллер герметизации CPC2 + FCU — канал 1,21-31-01; 22-81-01,CPC; FCU
M002,M039,Контроллер герметизации CPC2 + FCU — канал 2,21-31-01; 22-81-01,CPC; FCU
M020,M022,Компьютер вентиляции AEVC + Вентилятор Extract,21-26-10,AEVC
M021,M022,Вентилятор Blower + Вентилятор Extract,21-26-01; 21-26-02,BLOWER; EXTRACT
M022,M067,Вентилятор Extract + Преобразователь TR1,24-30-01,TR1
M026,M038,Компьютер FAC2 — невосстанавливаемый отказ + FCU — канал 1,22-66-01; 22-81-01,FAC2; FCU
M026,M039,Компьютер FAC2 — невосстанавливаемый отказ + FCU — канал 2,22-66-01; 22-81-01,FAC2; FCU
M026,M282,Компьютер FAC2 — невосстанавливаемый отказ + SFCC2 — канал закрылков,22-66-01; 27-51-01,FAC2; SFCC2_FLAP
M026,M284,Компьютер FAC2 — невосстанавливаемый отказ + SFCC2 — канал предкрылков,22-66-01; 27-51-01,FAC2; SFCC2_SLAT
M029,M030,Ограничитель хода руля направления — канал 1 + Ограничитель хода руля направления — канал 2,27-23-01,RTL
M031,M032,Триммер руля направления — канал 1 + Триммер руля направления — канал 2,27-22-01,RUDDER_TRIM
M038,M039,FCU — канал 1 + FCU — канал 2,22-81-01,FCU
M085,M086,Обнаружение пожара двигателя 1 — Loop A + Обнаружение пожара двигателя 1 — Loop B,26-12-01,ENGINE1_LOOPS
M087,M088,Обнаружение пожара двигателя 2 — Loop A + Обнаружение пожара двигателя 2 — Loop B,26-12-01,ENGINE2_LOOPS
M152,M153,Функция автоматического торможения AUTO/BRK + Колёсный тормоз 1,32-42-04,AUTOBRAKE
M152,M154,Функция автоматического торможения AUTO/BRK + Колёсный тормоз 2,32-42-04,AUTOBRAKE
M152,M155,Функция автоматического торможения AUTO/BRK + Колёсный тормоз 3,32-42-04,AUTOBRAKE
M152,M156,Функция автоматического торможения AUTO/BRK + Колёсный тормоз 4,32-42-04,AUTOBRAKE
M153,M154,Колёсный тормоз 1 + Колёсный тормоз 2,32-42-01,WHEEL_BRAKES
M153,M155,Колёсный тормоз 1 + Колёсный тормоз 3,32-42-01,WHEEL_BRAKES
M153,M156,Колёсный тормоз 1 + Колёсный тормоз 4,32-42-01,WHEEL_BRAKES
M154,M155,Колёсный тормоз 2 + Колёсный тормоз 3,32-42-01,WHEEL_BRAKES
M154,M156,Колёсный тормоз 2 + Колёсный тормоз 4,32-42-01,WHEEL_BRAKES
M155,M156,Колёсный тормоз 3 + Колёсный тормоз 4,32-42-01,WHEEL_BRAKES
M198,M199,MCDU1 + MCDU2,22-82-01,MCDU
M254,M255,Обогрев датчика AOA CAPT + Обогрев датчика AOA F/O,30-31-04,AOA_HEAT
M254,M256,Обогрев датчика AOA CAPT + Обогрев датчика AOA STBY,30-31-04,AOA_HEAT
M254,M258,Обогрев датчика AOA CAPT + Обогрев датчика TAT F/O,30-31-04,AOA_HEAT
M254,M261,Обогрев датчика AOA CAPT + Обогрев приёмника Pitot F/O,30-31-02; 30-31-04,AOA_HEAT; PITOT_HEAT
M254,M262,Обогрев датчика AOA CAPT + Обогрев приёмника Pitot STBY,30-31-02; 30-31-04,AOA_HEAT; PITOT_HEAT
M254,M265,Обогрев датчика AOA CAPT + Обогрев статического порта F/O — левый,30-31-03; 30-31-04,AOA_HEAT; STATIC_HEAT
M254,M266,Обогрев датчика AOA CAPT + Обогрев статического порта F/O — правый,30-31-03; 30-31-04,AOA_HEAT; STATIC_HEAT
M254,M267,Обогрев датчика AOA CAPT + Обогрев статического порта STBY — левый,30-31-04,AOA_HEAT
M254,M268,Обогрев датчика AOA CAPT + Обогрев статического порта STBY — правый,30-31-04,AOA_HEAT
M255,M256,Обогрев датчика AOA F/O + Обогрев датчика AOA STBY,30-31-04,AOA_HEAT
M255,M257,Обогрев датчика AOA F/O + Обогрев датчика TAT CAPT,30-31-04,AOA_HEAT
M255,M260,Обогрев датчика AOA F/O + Обогрев приёмника Pitot CAPT,30-31-02; 30-31-04,AOA_HEAT; PITOT_HEAT
M255,M262,Обогрев датчика AOA F/O + Обогрев приёмника Pitot STBY,30-31-02; 30-31-04,AOA_HEAT; PITOT_HEAT
M255,M263,Обогрев датчика AOA F/O + Обогрев статического порта CAPT — левый,30-31-03; 30-31-04,AOA_HEAT; STATIC_HEAT
M255,M264,Обогрев датчика AOA F/O + Обогрев статического порта CAPT — правый,30-31-03; 30-31-04,AOA_HEAT; STATIC_HEAT
M255,M267,Обогрев датчика AOA F/O + Обогрев статического порта STBY — левый,30-31-04,AOA_HEAT
M255,M268,Обогрев датчика AOA F/O + Обогрев статического порта STBY — правый,30-31-04,AOA_HEAT
M256,M257,Обогрев датчика AOA STBY + Обогрев датчика TAT CAPT,30-31-04,AOA_HEAT
M256,M258,Обогрев датчика AOA STBY + Обогрев датчика TAT F/O,30-31-04,AOA_HEAT
M256,M260,Обогрев датчика AOA STBY + Обогрев приёмника Pitot CAPT,30-31-02; 30-31-04,AOA_HEAT; PITOT_HEAT
M256,M261,Обогрев датчика AOA STBY + Обогрев приёмника Pitot F/O,30-31-02; 30-31-04,AOA_HEAT; PITOT_HEAT
M256,M263,Обогрев датчика AOA STBY + Обогрев статического порта CAPT — левый,30-31-03; 30-31-04,AOA_HEAT; STATIC_HEAT
M256,M264,Обогрев датчика AOA STBY + Обогрев статического порта CAPT — правый,30-31-03; 30-31-04,AOA_HEAT; STATIC_HEAT
M256,M265,Обогрев датчика AOA STBY + Обогрев статического порта F/O — левый,30-31-03; 30-31-04,AOA_HEAT; STATIC_HEAT
M256,M266,Обогрев датчика AOA STBY + Обогрев статического порта F/O — правый,30-31-03; 30-31-04,AOA_HEAT; STATIC_HEAT
M257,M261,Обогрев датчика TAT CAPT + Обогрев приёмника Pitot F/O,30-31-02,PITOT_HEAT
M257,M262,Обогрев датчика TAT CAPT + Обогрев приёмника Pitot STBY,30-31-02,PITOT_HEAT
M257,M265,Обогрев датчика TAT CAPT + Обогрев статического порта F/O — левый,30-31-03,STATIC_HEAT
M257,M266,Обогрев датчика TAT CAPT + Обогрев статического порта F/O — правый,30-31-03,STATIC_HEAT
M258,M260,Обогрев датчика TAT F/O + Обогрев приёмника Pitot CAPT,30-31-02,PITOT_HEAT
M258,M262,Обогрев датчика TAT F/O + Обогрев приёмника Pitot STBY,30-31-02,PITOT_HEAT
